rank_test_score,param_hidden_layer_sizes,param_alpha,param_activation,mean_train_score,std_train_score,mean_test_score,std_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,Gap_CV,Coef_Variacion,mean_fit_time,std_fit_time
33,"(128, 64, 32)",0.0016378937069540646,tanh,0.9991632570468267,0.00015506469033497793,0.9682782370048904,0.005015393061316785,0.9626183309424925,0.9684136369526112,0.9774553803095188,0.9676408527146841,0.965262984105145,0.030885020041936384,0.005179702351702711,65.29388899803162,6.943399562133076
34,"(64, 64, 32)",0.6105402296585326,tanh,0.995489290019114,0.00024447105444986834,0.968182399084986,0.00438657057666965,0.9715982373678749,0.9693246596480536,0.9682993943275112,0.9718571459663977,0.9598325581150925,0.02730689093412797,0.004530727454677268,106.06669263839721,5.612362699389325
35,"(128, 64, 32)",0.001,tanh,0.9992005021842422,0.000141439142529573,0.9681185783441897,0.007878832367344678,0.9631578727591346,0.9707214404504115,0.978005392587546,0.9730977966980128,0.9556103892258438,0.031081923840052483,0.008138292708750768,64.36326718330383,6.888407318770997
36,"(64, 64, 32)",1.0,tanh,0.992694455033682,0.00032255825768312475,0.968067254009236,0.003992627853118527,0.96594286800595,0.9702606440467013,0.9672388301489594,0.9743379216029877,0.9625560062415816,0.024627201024446044,0.00412432900357193,92.62369551658631,15.867923693240623
37,"(128, 64, 32)",0.019306977288832496,tanh,0.9991586548412863,0.00014825221855527563,0.967906787140922,0.008044197664436308,0.9661957402177654,0.9694788235225127,0.9780838063102899,0.9719485243139177,0.9538270413401247,0.031251867700364255,0.008310921848371247,65.42835187911987,7.195871601476626
38,"(128, 64, 32)",0.03162277660168379,tanh,0.9993149320403466,7.996558828984861e-05,0.9677396690573232,0.005100869700464061,0.9660621847234783,0.9696993640307738,0.9766680858087976,0.9639422991313724,0.9623264115921942,0.03157526298302338,0.005270911034816653,76.53499236106873,6.87284522654983
39,"(100, 50, 25)",1.0,tanh,0.9906063912539297,0.0009986348851009272,0.967719776135141,0.012586407413085844,0.9432880692849978,0.9743886715499295,0.9759209511883398,0.9768442146348264,0.9681569740176121,0.022886615118788645,0.013006252143934863,92.57631974220276,18.889243595596593
40,"(128, 64, 32)",0.13894954943731375,tanh,0.9989140891704856,9.777787961789707e-05,0.9674126529856082,0.005865912361340433,0.9646608125022291,0.9670948706168665,0.971639347829225,0.9753733403262349,0.9582948936534853,0.03150143618487744,0.006063505933313132,109.51714477539062,4.421340775906575
41,"(128, 64, 32)",0.22758459260747887,tanh,0.9984194817820358,0.00012056863665213023,0.9673946402404958,0.0066187281641120485,0.9634547383620543,0.973074989777553,0.965304459541078,0.9767023760504745,0.958436637471319,0.03102484154153995,0.006841807767786084,113.51450624465943,13.009667424063231
42,"(64, 64, 32)",0.3727593720314938,tanh,0.9971179416570186,0.00030280718795197857,0.9673679549283163,0.0047028097257974626,0.964826289352029,0.9709991030189671,0.9691480319244108,0.9724004364258627,0.9594659139203119,0.029749986728702327,0.004861448740201394,90.3526807308197,8.871333631723562
43,"(128, 64, 32)",0.6105402296585326,tanh,0.9957481650790012,0.00030471795564107124,0.9671911155296824,0.004924648559162753,0.9669078250779897,0.9663473459148963,0.9726768054962217,0.971370927673901,0.9586526734854032,0.028557049549318814,0.0050917016090100955,125.9451735496521,14.203148394680465
44,"(128, 64, 32)",0.3727593720314938,tanh,0.9975737946498414,0.00018714402052466783,0.9667958882203973,0.006968049322934094,0.9581477690365954,0.9682294043431334,0.9748934241034835,0.9734242078875103,0.9592846357312634,0.030777906429444113,0.0072073634236905345,128.51109976768493,11.157736214144128
45,"(128, 64, 32)",0.0026826957952797246,tanh,0.9993444165526363,4.303494450896669e-05,0.9665528862744266,0.006182285925670865,0.9591098885249671,0.9663274902639257,0.9775601825353339,0.9669952555114631,0.9627716145364433,0.03279153027820969,0.006396221058839787,70.82515625953674,3.119752893006317
46,"(100, 50)",0.0071968567300115215,tanh,0.9989481577149559,9.413194904946724e-05,0.9605908446123644,0.007354552898712393,0.9601875766840643,0.9620652928448349,0.9730631207149764,0.9570471453885965,0.9505910874293502,0.038357313102591495,0.007656280444438589,80.68107419013977,5.696542592045425
47,"(100, 50)",0.0026826957952797246,tanh,0.9990976108354583,5.5553240966029406e-05,0.9582816847241702,0.00612246639866951,0.9608467035612025,0.9614021776457371,0.9665016109524928,0.9494771576543712,0.9531807738070478,0.04081592611128815,0.006389004920230514,86.13087220191956,10.242596228165642
48,"(100, 50)",0.001,tanh,0.9990067088351451,0.0002049550637656165,0.9575370292369303,0.008825651854526675,0.9621647460274737,0.9587081717278011,0.9707927623363639,0.9501799992117037,0.9458394668813092,0.04146967959821479,0.00921703452195464,82.030002784729,9.75483504540463
49,"(100, 50)",0.03162277660168379,tanh,0.99891110224953,0.00012910355152309498,0.9572096637227883,0.004957083175750512,0.9579363445659461,0.9605499194985361,0.9590787509956471,0.9609523267543566,0.947530976799456,0.041701438526741685,0.005178680662783304,87.69261779785157,6.853554553782613
50,"(100, 50)",0.22758459260747887,tanh,0.9959970664463338,0.00017191607628471448,0.9570237248472637,0.007098053032440293,0.9535972912417432,0.9573205593866478,0.9676330982812988,0.9603390098546826,0.946228665471946,0.038973341599070066,0.007416799446192525,96.09401183128357,16.98670223675698
51,"(100, 50)",1.0,tanh,0.9838660914915666,0.0003034170994243381,0.9568907830281003,0.004964318229998565,0.956691398759567,0.9512908438160393,0.9623536877207359,0.9626233112346972,0.9514946736094623,0.026975308463466297,0.005187967444193453,90.3289644241333,8.236254545116536
52,"(100, 50)",0.0517947467923121,tanh,0.9986598923942601,0.0001547167918553904,0.9567827218157376,0.00685587066450328,0.9548488047574951,0.9532265052581407,0.9660752560356316,0.9627887265839148,0.9469743164435057,0.04187717057852247,0.00716554606200719,88.85519771575927,9.475385114967104
53,"(100, 50)",0.08483428982440717,tanh,0.9981451340499952,0.00011873394502524892,0.9565006228330286,0.009567879279389976,0.9522418419236032,0.9620402113767934,0.9697192849946349,0.9572835391764504,0.9412182366936613,0.04164451121696655,0.010003003710599978,96.42788963317871,8.917996569969507
54,"(100, 50)",0.011787686347935873,tanh,0.9989669993976834,0.00010519206317653686,0.9560619318531034,0.008189468365392341,0.9600917893188073,0.9607620895787182,0.9665655873763428,0.947370272903423,0.9455199200882254,0.04290506754458001,0.008565834589312604,78.14712495803833,8.588032276521345
55,"(100, 50)",0.6105402296585326,tanh,0.9899229695931137,0.00021795010646421628,0.9554882948872688,0.00649018399286778,0.9528784375445726,0.9517443910773699,0.9637862956329936,0.9622310120962926,0.9468013380851159,0.034434674705844825,0.006792531135751391,100.30298433303832,7.597505400512429
56,"(100, 50)",0.0016378937069540646,tanh,0.999038118606477,2.8037803969162318e-05,0.9552369759962953,0.004909394803686364,0.954552499541808,0.9572553300763045,0.9635302346767414,0.9510751398494466,0.9497716758371764,0.04380114261018164,0.00513945222709365,81.53749184608459,9.825721434673135
57,"(100, 50)",0.019306977288832496,tanh,0.9987900003707058,0.0001311790490456893,0.9550163861698511,0.00648207583756266,0.9611631068918864,0.9539038190498078,0.9607669854191783,0.955942305235457,0.9433057142529262,0.04377361420085468,0.00678739750587883,80.80153574943543,7.142701289474879
58,"(100, 50)",0.13894954943731375,tanh,0.9972954863459584,0.0004033180016560737,0.9546542928285369,0.007525742008736026,0.9478702169500567,0.9614843779663664,0.9637314978046143,0.95585888230064,0.944326489121007,0.04264119351742157,0.00788321182366244,90.80814199447632,5.504181983770862
59,"(128, 64)",1.0,tanh,0.9822717821180561,0.0015321156955315383,0.9545959547933981,0.007556513648176881,0.9531017367127783,0.9516939747225248,0.9605487744834489,0.964731000955005,0.9429042870932339,0.02767582732465801,0.007915928839036749,163.2834985256195,32.00449532087807
60,"(128, 64)",0.6105402296585326,tanh,0.9883783879819706,0.0008802763114461944,0.9541706413700682,0.00902775739519467,0.9477834621660484,0.9521839602540897,0.9628583441329931,0.9659977434724971,0.9420296968247126,0.0342077466119024,0.009461365717804891,188.13904356956482,28.153495607488843
61,"(128, 64)",0.03162277660168379,tanh,0.9986700517966834,0.00023194241804863194,0.9539945028999851,0.0070731139090957065,0.9400738963966708,0.9587623795193444,0.9581039155256338,0.9579346065167675,0.9550977165415089,0.044675548896698336,0.007414208245010441,133.50763168334962,10.775289669243254
62,"(100, 50)",0.3727593720314938,tanh,0.9938765241819938,0.0005586772918199096,0.9539853646984826,0.007613124173258777,0.9487744741662746,0.9600433625239791,0.9555635897765774,0.9632730239277945,0.9422723730977872,0.039891159483511185,0.007980336444327935,104.54316682815552,15.663942755210558
63,"(64, 32)",0.6105402296585326,tanh,0.9861209354806162,0.0008668346520588686,0.9526369914905184,0.007026391163111327,0.9525885161100942,0.9449769404788019,0.9620035902309783,0.9588458654678068,0.9447700451649099,0.0334839439900978,0.007375727822743551,82.88620166778564,24.67190012690264
