rank_test_score,param_hidden_layer_sizes,param_alpha,param_activation,mean_train_score,std_train_score,mean_test_score,std_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,Gap_CV,Coef_Variacion,mean_fit_time,std_fit_time
41,"(64, 64, 32)",0.019306977288832496,tanh,0.9991625983613501,0.00017898902175214203,0.9650524655551266,0.010380462232938524,0.9543944223191827,0.9546795134621251,0.9629424317090095,0.9718599925491382,0.9813859677361778,0.03411013280622355,0.010756370874579733,46.61531009674072,2.615605609754398
42,"(64, 64, 32)",0.0026826957952797246,tanh,0.9991787668654002,0.0001259094989420746,0.9645751578634473,0.008362338842643856,0.9534689434646977,0.9560464835910535,0.9685008173093341,0.9697134764714532,0.9751460684806981,0.03460360900195292,0.008669452840944607,57.374415159225464,2.202807536119972
43,"(64, 64, 32)",0.08483428982440717,tanh,0.9990063039643793,7.831340542842607e-05,0.9641923182170137,0.006705890179784006,0.9531883937141749,0.9648848034705314,0.9664789761448279,0.9624666097535683,0.973942808001966,0.034813985747365606,0.006954930103762444,69.32506618499755,4.324688145919537
44,"(64, 64, 32)",0.0016378937069540646,tanh,0.999286223753133,0.00013876695415033385,0.9641008869161023,0.013162778792352706,0.9522502098208018,0.9534301761262327,0.9552541134237266,0.9752163279837947,0.9843536072259567,0.035185336837030734,0.01365290600909711,46.92613096237183,3.8000868863238266
45,"(64, 64, 32)",0.001,tanh,0.999226266844569,0.00016638708865393133,0.9635486645443487,0.010992073260310936,0.9506410827347795,0.9542914995323339,0.9612739993899035,0.9708688261587547,0.9806679149059724,0.035677602300220324,0.011407906694062995,49.153275394439696,2.9692586011179833
46,"(64, 32)",0.13894954943731375,tanh,0.9949686385961132,0.0010863687468061595,0.9579002116680467,0.0072896999977956215,0.9510848037706697,0.9472584192752936,0.9641659938180767,0.9620611465038865,0.964930694972307,0.037068426928066445,0.0076100828760666496,69.12420043945312,12.13517417405841
47,"(128, 64)",0.22758459260747887,tanh,0.9948559434312871,0.00021531659409537452,0.9570484274135685,0.01068275373975854,0.944685004614704,0.9445823761590231,0.9608881078569007,0.9638473388064723,0.9712393096307431,0.03780751601771859,0.01116218723500625,162.61969108581542,6.159556124535633
48,"(64, 32)",0.6105402296585326,tanh,0.9853199608776094,0.0012413659193023707,0.9564953227780844,0.0068415077704486816,0.9465541339842124,0.9538807641384179,0.9539529466802517,0.962053449079876,0.9660353200076641,0.02882463809952507,0.007152682932706796,72.06681027412415,4.798456889946392
49,"(64, 32)",1.0,tanh,0.979224974349869,0.000835564569029876,0.9563364673855188,0.005782224404256108,0.9480039801710063,0.9531580147277556,0.9608167374986629,0.9552231031006054,0.9644805014295639,0.022888506964350186,0.006046223898649234,64.38464250564576,10.505495906202762
50,"(64, 32)",0.22758459260747887,tanh,0.9929559574206552,0.0008732236227848799,0.9560363484483323,0.010674884716430558,0.9384114094458036,0.9491846117087221,0.9633525347499607,0.962227737120751,0.9670054492164236,0.03691960897232294,0.011165772863925234,65.30565948486328,10.072342911587931
51,"(64, 32)",0.3727593720314938,tanh,0.9904308031669439,0.0008772921636124447,0.9558442818002273,0.009707478042996443,0.9390008871161644,0.9532328201918678,0.9563435594737673,0.9647098150449267,0.9659343271744102,0.03458652136671658,0.010155919983863355,70.69490966796874,6.825839575787931
52,"(64, 32)",0.0016378937069540646,tanh,0.9984329998681369,0.00028453310834365887,0.9558420547930707,0.0060655792678467445,0.9480957761945414,0.9487798641829958,0.9610383121665258,0.9599854043223229,0.9613109170989673,0.04259094507506622,0.006345796606699708,56.867691612243654,7.985553915964619
53,"(128, 64)",0.3727593720314938,tanh,0.9919519350445059,0.0006151282478866225,0.9554098587869119,0.008263758402010038,0.9422197952264686,0.9507933222865161,0.957442141777236,0.9603293907475637,0.9662646438967748,0.03654207625759398,0.00864943806682356,154.92854504585267,12.830505273219398
54,"(64, 32)",0.004393970560760791,tanh,0.9980085961973584,0.0005103873580396365,0.9553474150478397,0.007962806065120821,0.9469234307269333,0.9448175151071719,0.9586481021352226,0.9622297489955485,0.9641182782743227,0.04266118114951867,0.008334984676461472,55.55725512504578,9.097183546619926
55,"(64, 32)",0.019306977288832496,tanh,0.9977710457414541,0.000470733174387739,0.9553035606284436,0.011709261768901608,0.9411441905383313,0.9408509529341856,0.9663098364338799,0.9642644419307771,0.9639483813050436,0.04246748511301057,0.012257110987002608,51.09341564178467,7.060844481717317
56,"(64, 32)",0.08483428982440717,tanh,0.9962103301333183,0.0006664738770701996,0.9551528142149373,0.007439566616847156,0.9443369597083197,0.9497001461709916,0.9640234441461518,0.9623136225052862,0.9553898985439376,0.04105751591838103,0.00778887577582223,63.684178829193115,9.129105569260549
57,"(64, 32)",0.0026826957952797246,tanh,0.9981727439993154,0.0002387220243053403,0.9551021706444024,0.008482991951987526,0.9513452867633378,0.94416692981527,0.9701316480861675,0.9546419482314628,0.9552250403257739,0.043070573354913044,0.00888176387062768,57.41182417869568,10.853221542629159
58,"(64, 32)",0.001,tanh,0.998256420185599,0.0004244191131416317,0.9545576968118897,0.010843776594082774,0.9441218930865487,0.9393897593926013,0.9664932522209645,0.963950890653514,0.9588326887058203,0.04369872337370928,0.011360001213441273,54.02575674057007,5.870859853991675
59,"(64, 32)",0.011787686347935873,tanh,0.997934224828945,0.0004256765286681256,0.9540290686215522,0.010237132044661324,0.9458005384643728,0.9387578941138383,0.9669085644364268,0.9599720445390932,0.9587063015540296,0.04390515620739277,0.010730419419455055,52.037428331375125,5.93565045969207
60,"(64, 32)",0.03162277660168379,tanh,0.997688124855206,0.00033133602317404255,0.9538973836225442,0.011829250699823487,0.9423795806895665,0.9380238771703013,0.9696072344735761,0.9597276582393531,0.959748567539923,0.0437907412326618,0.012400967759131945,58.524405813217165,7.732219664829166
61,"(100, 50)",0.13894954943731375,tanh,0.9959017137986731,0.00027156042853586685,0.9536820285574559,0.009790610017800816,0.9421084561785953,0.9469913290296252,0.9667912297215324,0.9486625693755872,0.9638565584819389,0.04221968524121722,0.010266115670240888,153.29979696273804,7.623867685428021
62,"(64, 32)",0.0517947467923121,tanh,0.9970509269980556,0.0004900524488143635,0.9534942987673691,0.011103097882689785,0.9460888001792065,0.936864910750169,0.9671516277944937,0.9539583304205502,0.9634078246924263,0.04355662823068651,0.011644640033027285,58.63206534385681,7.809994024609185
63,"(128, 64)",0.13894954943731375,tanh,0.996195568977192,0.0003316617290211653,0.9533506945575276,0.011391157732921951,0.9398819575820956,0.942026454142686,0.9602537531796184,0.9541879335255921,0.9704033743576461,0.042844874419664336,0.011948549256796686,148.73992066383363,8.395567202790662
64,"(100, 50)",0.03162277660168379,tanh,0.9979605566133618,0.0003482425958309332,0.9533226169733588,0.009848350839135727,0.9449357072639035,0.9501528881244351,0.9664549261421715,0.9417908596011847,0.9632787037350989,0.044637939640002955,0.010330554068257194,112.2263014793396,13.92007756122543
65,"(128, 64)",1.0,tanh,0.981213313923497,0.0009720572153139801,0.9533025457307422,0.006935876404100496,0.9452989766894859,0.9482300536247406,0.9542937456361613,0.9531506159717905,0.9655393367315327,0.02791076819275473,0.007275629793670472,179.5729322910309,32.54034256529365
66,"(128, 64)",0.6105402296585326,tanh,0.9876607150251866,0.0006317012929600727,0.9527221439030079,0.006911652419504366,0.9450708534662722,0.9449433720347683,0.9558670097200282,0.9547144438845759,0.9630150404093945,0.034938571122178685,0.007254636059144657,163.03092918395996,19.907076291255784
67,"(64, 32)",0.0071968567300115215,tanh,0.9981571036435216,0.0004318413401211104,0.9525906333265454,0.014502226379264892,0.9424485186515493,0.9322949465010066,0.9726028456952457,0.9514018516134024,0.9642050041715223,0.04556647031697625,0.015223985909478883,50.015957260131835,3.080276459563271
68,"(100, 50)",1.0,tanh,0.9799466479055351,0.0018295560145811173,0.9522205467541157,0.007306800256919449,0.9497400650973529,0.9424886279444435,0.9491153174233417,0.9554563379976786,0.9643023853077625,0.02772610115141938,0.007673432674632493,135.35625910758972,19.05326564476922
69,"(100, 50)",0.6105402296585326,tanh,0.9866165538597498,0.0008785354960335673,0.9513837319465717,0.009122176582120112,0.9479513940954933,0.9454846852598804,0.9611766897507628,0.9394593084636382,0.9628465821630838,0.035232821913178114,0.009588325168705324,179.63322529792785,14.461124311665817
